complaint_id,date_received,district_occurrence,general_cap_classification,summary
15-0331,6/25/15,3,PHYSICAL ABUSE,"According to the complainant, on 5-11-15 at approximately 10:30am, they were physically abused and falsely arrested by a lieutenant, sergeant and other 3rd District officers."
15-0332,6/24/15,12,LACK OF SERVICE,"According to the complainant, on 6-12-15 at 11:00pm, they did not receive proper service from a sergeant assigned to the 12th District."
15-0333,6/26/15,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-4-15 at 6:30pm, their vehicle was damaged by unidentified plainclothes officers in the 19th District."
15-0334,6/29/15,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-16-15 at approximately 6:10pm, a sergeant assigned to the 35th District acted unprofessionally while responding to a landlord-tenant dispute."
15-0335,6/26/15,6,VERBAL ABUSE,"According to the complainant, on 6-22-15 at approximately 1:40pm, they were verbally abused by a sergeant assigned to the Police Detention Unit."
15-0336,6/26/15,8,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-23-15 at 12:30am, an officer assigned to the 8th District, damaged property and conducted themselves unprofessionally."
15-0337,6/26/15,15,PHYSICAL ABUSE,"According to the complainant, on 6-15-15 at approximately 10:00pm, they were physically abused by unidentified 15th Police District officers."
15-0338,6/29/15,1,LACK OF SERVICE,"According to the complainant, on 6-23-15 at 9:50am, that they were verbally abused and did not receive proper service from an unknown officer in the 3rd District."
15-0339,6/25/15,6,CRIMINAL ALLEGATION,"According to the complainant, on 6-7-15 at 3:08am, an unknown person used their credit card while in custody and stole their cologne. This incident took place with in the confines of the 14th District."
15-0340,6/29/15,3,LACK OF SERVICE,"According to the complainant, they did not receive proper service from an officer assigned to the 3rd District."
15-0341,6/26/15,77,LACK OF SERVICE,"According to the complainant, on 6-16-15 at approximately 12:55am, they were treated unprofessionally by an officer assigned to the Airport Unit."
15-0342,6/26/15,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-02-15 at approximately 11:30pm, their property was damaged by an officer assigned to the 14th Police District."
15-0343,6/29/15,16,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-25-15 at 9:45am, unidentified officers in the 16th District, improperly searched their apartment and damaged their property."
15-0344,6/29/15,24,PHYSICAL ABUSE,"According to the complainant, on 4-22-15 at approximately 4:00pm, they were physically abused and treated unprofessionally by unidentified police officers in the 25th District."
15-0345,6/29/15,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-25-15 at 9:16pm, an officer assigned to the 6th District improperly issued them a citation."
15-0346,7/2/15,14,LACK OF SERVICE,"According to the complainant, on 6-26-15 at 12:01am, they were treated unprofessionally and did not receive proper service from an officer assigned to the 14th District."
15-0347,6/29/15,19,CIVIL RIGHTS COMPLAINT,"According to the complainant, on behalf of another person, on 6-23-15 at 10:00am, they were harassed by an officer assigned to the 19th District."
15-0348,7/6/15,6,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 6-27-15 they did not receive proper service and physically abused by an officer assigned to Headquarters Security Unit."
15-0349,7/1/15,19,PHYSICAL ABUSE,"According to the complainant, on 6-26-15 at 6:45pm, they were physically abused by a sergeant and other unknown 19th District officers."
15-0350,7/1/15,6,PHYSICAL ABUSE,"According to the complainant, on 3-1-14 at 1:00pm, they were physically abused by unknown 6th District officers."
15-0351,7/1/15,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-18-15 at 7:30am, they were treated unprofessionally by unknown officers in the 24th District."
15-0352,7/1/15,35,VERBAL ABUSE,"According to the complainant, on 6-6-15 at 4:30pm, they were an officer in the 35th District, was rude and dismissive while issuing a parking citation."
15-0353,7/1/15,6,PHYSICAL ABUSE,"According to the complainant, on 5-16-15 at 3:00pm, they were treated unprofessionally by officers assigned to Center City District."
15-0354,7/2/15,26,LACK OF SERVICE,"According to the complainant, they did not receive proper service from an officer assigned to the 25th District."
15-0355,7/2/15,12,PHYSICAL ABUSE,"According to the complainant, on 5-18-15 at 9:50pm, they were physically and verbally abused by unknown officers in the 12th District."
15-0356,7/2/15,12,HARASSMENT,"According to the complainant, on 6-28-15 at 3:00pm, they were harassed by an officer assigned to the 12th District."
15-0357,7/2/15,5,VERBAL ABUSE,"According to the complainant, on 6-27-15 at 9:05am, they were treated unprofessionally by officers assigned to the 5th District."
15-0358,7/2/15,19,CRIMINAL ALLEGATION,"According to the complainant, on 6-29-15 at 3:00pm, they were verbally abused and threatened by an unidentified 19th District officer."
15-0359,7/6/15,12,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-28-15 at 10:42am, they were harassed by two unknown officers in the 12th district."
15-0360,7/2/15,19,VERBAL ABUSE,"According to the complainant, on 6-27-15 at 12:00am, they were treated unprofessionally and did not receive proper service from officers assigned to the 19th District."
15-0361,7/2/15,24,PHYSICAL ABUSE,"According to the complainant, on 6-27-15 at 6:24pm, they were physically abused by an officer assigned to the 25th District.."
15-0362,7/6/15,17,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-18-15 at 4:45pm, they were harassed by an officer assigned to the 17th District."
15-0363,7/6/15,8,HARASSMENT,"According to the complainant, on 6-16-15, they were harassed by an officer assigned to the 2nd District."
15-0364,7/6/15,22,HARASSMENT,"According to the complainant, on 6-12-15 at 7:45pm, a sergeant assigned to the 22nd District, did not follow proper police procedure."
15-0365,7/6/15,14,LACK OF SERVICE,"According to the complainant, on 6-30-15 at 11:30pm, they did not receive proper service from an officer assigned to the 14th District."
15-0366,7/6/15,3,LACK OF SERVICE,"According to the complainant, on 6-15-15 at 10:00pm, they did not receive proper service from officers assigned to the 3rd District."
15-0367,7/8/15,15,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-19-15 at 7:30pm, they were falsely detained by unidentified 15th District officers."
15-0368,7/8/15,39,LACK OF SERVICE,"According to the complainant, on 7-2-15 at 1:00am, they did not receive proper service from several unknown 39th District officers."
15-0369,7/8/15,22,LACK OF SERVICE,"According to the complainant, 6-26-15, 6:15pm, they did not receive proper service from sergeants assigned to the 22nd District."
15-0370,7/9/15,25,PHYSICAL ABUSE,"According to the complainant, 7-4-15 at 9:00pm, they were verbally and physically abused by unidentified 25th District officers."
15-0371,7/9/15,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-5-15 at 5:00pm they were harassed by an off-duty sergeant assigned to Police Radio."
15-0372,7/9/15,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-4-15 at 9:50pm, they were improperly issued a traffic citation from an officer assigned to the 14th District."
15-0373,7/9/15,12,PHYSICAL ABUSE,"According to the complainant, on 7-6-13 at 1:20am, they were physically abused by a sergeant and another unidentified 12th District officer."
15-0374,7/9/15,18,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-2-15 at 7:23pm, a detective assigned to Southwest Detective Division, acted unprofessionally and did not provide them with service."
15-0375,7/9/15,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-15-15 at 8:15am, a detective, assigned to the Homicide Unit, did not follow proper police procedure."
15-0376,7/9/15,15,LACK OF SERVICE,"According to the complainant, on 6-28-15 at 3:30am, they did not receive proper service from an officer and corporal assigned to the 15th District."
15-0377,7/9/15,18,LACK OF SERVICE,"According to the complainant, on 6-7-15 at 9:50pm, they did not receive proper service from an officer assigned to the 18th District."
15-0378,7/9/15,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-3-15 at 5:30am, they were treated unprofessionally by an unknown officer in the 14th District."
15-0379,7/17/15,5,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-1-15 at 9:15pm, they were falsely arrested by a sergeant assigned to the 5th District."
15-0380,7/13/15,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-21-15 at approximately 6:45pm, they were falsely detained, physically abused and not given proper service from unidentified 25 District officers."
15-0381,7/13/15,N/A,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-16-15 at 2:00am, unidentified officers from the 2nd District damaged their property and did not follow police procedures."
15-0382,7/14/15,24,VERBAL ABUSE,"According to the complainant, on 7-8-15 at 2:30am, they were verbally abused by an unknown 24th District officer."
15-0383,7/14/15,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, an officer assigned to Highway Patrol, did not follow proper police procedure. This incident took place in the confines of the 14th district."
15-0384,7/14/15,18,PHYSICAL ABUSE,"According to the complainant, on 6-21-15 at 7:30pm, they were falsely arrested and physically abused by unknown officers in the 18th District."
15-0385,7/14/15,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, 06- 17,-15 at approximately, 4:00pm, they were treated unprofessionally and were wrongfully cited by a officer assigned to the 19th District ."
15-0386,7/14/15,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-9-15 at 9:30am, they were harassed by officers assigned to the 14th District."
15-0387,7/15/15,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-10-15 at 1:20am, they were falsely arrested by officers assigned to the 19th District."
15-0388,7/15/15,15,LACK OF SERVICE,"According to the complainant, on 7-11-15 at 5:30pm, they did not receive proper service from a sergeant and other unknown 15th District officers."
15-0389,7/15/15,3,LACK OF SERVICE,"According to the complainant, on 7-12-15 at 10:00am, they did not receive proper service from an officer assigned to the 3rd District."
15-0390,7/15/15,22,VERBAL ABUSE,"According to the complainant, on 7-12-15 at 3:20pm, they were verbally abused by a sergeant assigned to the 22nd District."
15-0391,7/16/15,18,LACK OF SERVICE,"According to the complainant, on 7-8-15 at 3:40pm, they were treated unprofessionally and did not receive proper service from a detective assigned to Southwest Detective Division."
15-0392,7/16/15,15,PHYSICAL ABUSE,"According to the complainant, on 7-3-15 at 8:15pm, their partner was physically abused by unknown 15th District officers."
15-0393,7/16/15,3,PHYSICAL ABUSE,"According to the complainant, on 7-5-15 at 2:00am, they were physically abused by unknown 3rd District officers."
15-0394,7/16/15,24,CRIMINAL ALLEGATION,"According to the complainant, an officer assigned to the 26th District, has repeatedly vandalized their vehicle."
15-0395,7/16/15,9,LACK OF SERVICE,"According to the complainant, on 7-2-15 at 5:00pm, they did not receive proper service from unknown 9th District officers."
15-0396,7/16/15,39,LACK OF SERVICE,"According to the complainant, an officer assigned to the 39th District, did not follow proper police procedure."
15-0397,7/17/15,1,DOMESTIC,"According to the complainant, on 3-4-15 at 10:45pm, they did not receive proper service and proper procedures were not followed by from an officer assigned to the 1st District."
15-0398,7/16/15,22,LACK OF SERVICE,"According to the complainant, on 7-13-15 at 2:00pm, they did not receive proper service from a sergeant assigned to the 22nd District."
